user_id	user_name	follower	following	tweet	date	arxiv_url	arxiv_title	arxiv_abstract	arxiv_p_subject	arxiv_s_subject
shion_honda	Shion Honda	"1,234"	242	"Deep learning for molecular design [Elton+, 2019, Mol. Syst. Des. Eng.] 過去2年間のDLによる分子設計手法に関する論文45本をまとめたサーベイ。RNN、GANなど機械学習一般の話が手厚いが、最後に強化学習の報酬設計などドメイン固有の議論もある。 https://t.co/RruXfCPFPF #NowReading https://t.co/QY3Cpv0Ug7"	2019/6/26 15:29	https://arxiv.org/abs/1903.04388	Deep learning for molecular design - a review of the state of the art	"In the space of only a few years, deep generative modeling has revolutionizedhow we think of artificial creativity, yielding autonomous systems whichproduce original images, music, and text. Inspired by these successes,researchers are now applying deep generative modeling techniques to thegeneration and optimization of molecules - in our review we found 45 papers onthe subject published in the past two years. These works point to a futurewhere such systems will be used to generate lead molecules, greatly reducingresources spent downstream synthesizing and characterizing bad leads in thelab. In this review we survey the increasingly complex landscape of models andrepresentation schemes that have been proposed. The four classes of techniqueswe describe are recursive neural networks, autoencoders, generative adversarialnetworks, and reinforcement learning. After first discussing some of themathematical fundamentals of each technique, we draw high level connections andcomparisons with other techniques and expose the pros and cons of each. Severalimportant high level themes emerge as a result of this work, including theshift away from the SMILES string representation of molecules towards moresophisticated representations such as graph grammars and 3D representations,the importance of reward function design, the need for better standards forbenchmarking and testing, and the benefits of adversarial training andreinforcement learning over maximum likelihood based training."	Machine Learning (cs.LG)	Chemical Physics (physics.chem-ph);Machine Learning (stat.ML)
TomiyaAkio	3刷出ます「ディープラーニングと物理学」 A.Tomiya	"1,262"	504	個人的には、https://t.co/Ltq63t7B3K の続きの話がおもしろかったな	2019/6/26 17:32	https://arxiv.org/abs/1811.12688	Exploring the phase diagram of finite density QCD at low temperature by the complex Langevin method	"Monte Carlo studies of QCD at finite density suffer from the sign problem,which becomes easily uncontrollable as the chemical potential $\mu$ isincreased even for a moderate lattice size. In this work we make an attempt toapproach the high density low temperature region by the complex Langevin method(CLM) using four-flavor staggered fermions with reasonably small quark mass ona $8^3 \times 16$ lattice. Unlike the previous work on a $4^3 \times 8$lattice, the criterion for correct convergence is satisfied within a wide rangeof $\mu$ without using the deformation technique. In particular, the baryonnumber density exhibits a plateau behavior consistent with the formation ofeight baryons, and it starts to grow gradually at some $\mu$."	High Energy Physics - Lattice (hep-lat)	High Energy Physics - Theory (hep-th)
overleo	overleo	189	0	BERTを超えたXLNetの紹介 - akihiro_f - Medium: 概要https://t.co/khdHR0GZWP XLNetは2019/6/19に、”XLNet: Generalized Autoregressive Pretraining for Language Understanding”と題してArxivに投稿された論文です。一言(?)でいうと… https://t.co/p03Aej2nmw [ml]	2019/6/26 17:35	https://arxiv.org/abs/1906.08237	XLNet: Generalized Autoregressive Pretraining for Language Understanding	"With the capability of modeling bidirectional contexts, denoisingautoencoding based pretraining like BERT achieves better performance thanpretraining approaches based on autoregressive language modeling. However,relying on corrupting the input with masks, BERT neglects dependency betweenthe masked positions and suffers from a pretrain-finetune discrepancy. In lightof these pros and cons, we propose XLNet, a generalized autoregressivepretraining method that (1) enables learning bidirectional contexts bymaximizing the expected likelihood over all permutations of the factorizationorder and (2) overcomes the limitations of BERT thanks to its autoregressiveformulation. Furthermore, XLNet integrates ideas from Transformer-XL, thestate-of-the-art autoregressive model, into pretraining. Empirically, XLNetoutperforms BERT on 20 tasks, often by a large margin, and achievesstate-of-the-art results on 18 tasks including question answering, naturallanguage inference, sentiment analysis, and document ranking."	Computation and Language (cs.CL)	Machine Learning (cs.LG)
m3yrin	typo	127	276	"宝くじ券仮説、NNの中で初期値と相性?の良い有効な構造のみが生き残っていく話(らしい)  |The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks | https://t.co/FQOgC7cDml"	2019/6/26 17:37	https://arxiv.org/abs/1803.03635	"The Lottery Ticket Hypothesis: Finding Sparse, Trainable Neural Networks"	"Neural network pruning techniques can reduce the parameter counts of trainednetworks by over 90%, decreasing storage requirements and improvingcomputational performance of inference without compromising accuracy. However,contemporary experience is that the sparse architectures produced by pruningare difficult to train from the start, which would similarly improve trainingperformance.We find that a standard pruning technique naturally uncovers subnetworkswhose initializations made them capable of training effectively. Based on theseresults, we articulate the ""lottery ticket hypothesis:"" dense,randomly-initialized, feed-forward networks contain subnetworks (""winningtickets"") that - when trained in isolation - reach test accuracy comparable tothe original network in a similar number of iterations. The winning tickets wefind have won the initialization lottery: their connections have initialweights that make training particularly effective.We present an algorithm to identify winning tickets and a series ofexperiments that support the lottery ticket hypothesis and the importance ofthese fortuitous initializations. We consistently find winning tickets that areless than 10-20% of the size of several fully-connected and convolutionalfeed-forward architectures for MNIST and CIFAR10. Above this size, the winningtickets that we find learn faster than the original network and reach highertest accuracy."	Machine Learning (cs.LG)	Artificial Intelligence (cs.AI);Neural and Evolutionary Computing (cs.NE)
qard_t	T-QARD channel	516	0	https://t.co/3IVdpQF3wQ  展望としては2Dもいけるぞ！とのこと。 https://t.co/Xs7ihnvjAy	2019/6/26 18:47	https://arxiv.org/abs/1905.05721	Generation and manipulation of Schr?dinger cat states in Rydberg atom arrays	"Quantum entanglement involving coherent superpositions of macroscopicallydistinct states is among the most striking features of quantum theory, but itsrealization is challenging, since such states are extremely fragile. Using aprogrammable quantum simulator based on neutral atom arrays with interactionsmediated by Rydberg states, we demonstrate the deterministic generation of'Schr?dinger cat' states of the Greenberger-Horne-Zeilinger (GHZ) type withup to 20 qubits. Our approach is based on engineering the energy spectrum andusing optimal control of the many-body system. We further demonstrateentanglement manipulation by using GHZ states to distribute entanglement todistant sites in the array, establishing important ingredients for quantuminformation processing and quantum metrology."	Quantum Physics (quant-ph)	Quantum Gases (cond-mat.quant-gas);Atomic Physics (physics.atom-ph)
SeURa_Nue	せゆーら / Se-U-Ra	"3,667"	420	@takumiwish https://t.co/IkpmVNd6Uu  この辺じゃないですかね(推察)	2019/6/26 20:06	https://arxiv.org/abs/1708.05031	Neural Collaborative Filtering	"In recent years, deep neural networks have yielded immense success on speechrecognition, computer vision and natural language processing. However, theexploration of deep neural networks on recommender systems has receivedrelatively less scrutiny. In this work, we strive to develop techniques basedon neural networks to tackle the key problem in recommendation -- collaborativefiltering -- on the basis of implicit feedback. Although some recent work hasemployed deep learning for recommendation, they primarily used it to modelauxiliary information, such as textual descriptions of items and acousticfeatures of musics. When it comes to model the key factor in collaborativefiltering -- the interaction between user and item features, they stillresorted to matrix factorization and applied an inner product on the latentfeatures of users and items. By replacing the inner product with a neuralarchitecture that can learn an arbitrary function from data, we present ageneral framework named NCF, short for Neural network-based CollaborativeFiltering. NCF is generic and can express and generalize matrix factorizationunder its framework. To supercharge NCF modelling with non-linearities, wepropose to leverage a multi-layer perceptron to learn the user-item interactionfunction. Extensive experiments on two real-world datasets show significantimprovements of our proposed NCF framework over the state-of-the-art methods.Empirical evidence shows that using deeper layers of neural networks offersbetter recommendation performance."	Information Retrieval (cs.IR)	
yu__ya4	Yuya Matsumura	"1,642"	"1,037"	論文 https://t.co/pR58iCGQvA  サービスの性質上，ユーザ間の取引が A-&gt;B-&gt;C-&gt;A ってふうに循環してたら怪しいって仮説おいてそれを特徴量にしてるの面白い（最終，そこまで効いてなさげやったけど）。 こういうドメイン知識あるからこそのってやつ好き。	2019/6/26 20:28	https://arxiv.org/abs/1906.07974	Detecting problematic transactions in a consumer-to-consumer e-commerce network	"Providers of online marketplaces are constantly combatting againstproblematic transactions, such as selling illegal items and posting fictiveitems, exercised by some of their users. A typical approach to detect fraudactivity has been to analyze registered user profiles, user's behavior, andtexts attached to individual transactions and the user. However, thistraditional approach may be limited because malicious users can easily concealtheir information. Given this background, network indices have been exploitedfor detecting frauds in various online transaction platforms. In the presentstudy, we analyzed networks of users of an online consumer-to-consumermarketplace in which a seller and the corresponding buyer of a transaction areconnected by a directed edge. We constructed egocentric networks of each ofseveral hundreds of fraudulent users and those of a similar number of normalusers. We calculated eight local network indices based on up to connectivitybetween the neighbors of the focal node. Based on the present descriptiveanalysis of these network indices, we fed twelve features that we constructedfrom the eight network indices to random forest classifiers with the aim ofdistinguishing between normal users and fraudulent users engaged in each one ofthe four types of problematic transactions. We found that the classifieraccurately distinguished the fraudulent users from normal users and that theclassification performance did not depend on the type of problematictransaction."	Social and Information Networks (cs.SI)	
Nextremer_nb_o	nb.o	51	113	もとの論文とおなじことがかいてあるってことか。  https://t.co/2ufSUdfWLS	2019/6/26 21:53	https://arxiv.org/abs/1712.07136	Low-Shot Learning with Imprinted Weights	"Human vision is able to immediately recognize novel visual categories afterseeing just one or a few training examples. We describe how to add a similarcapability to ConvNet classifiers by directly setting the final layer weightsfrom novel training examples during low-shot learning. We call this processweight imprinting as it directly sets weights for a new category based on anappropriately scaled copy of the embedding layer activations for that trainingexample. The imprinting process provides a valuable complement to training withstochastic gradient descent, as it provides immediate good classificationperformance and an initialization for any further fine-tuning in the future. Weshow how this imprinting process is related to proxy-based embeddings. However,it differs in that only a single imprinted weight vector is learned for eachnovel category, rather than relying on a nearest-neighbor distance to traininginstances as typically used with embedding methods. Our experiments show thatusing averaging of imprinted weights provides better generalization than usingnearest-neighbor instance embeddings."	Computer Vision and Pattern Recognition (cs.CV)	
hir_kurashige	Hiroki Kurashige	225	80	Fristonの例の論文(というかモノグラフ)、最終的には自分の研究に関わるだろうし、読んで(解読して)みようと思う。その上でせっかくだからこじんまりとした報告会でも開くか。これは輪読には向かないから、私が解読して、私が説明して、他の人がそれにツッコミ入れる会。  https://t.co/CMQnxJUf2o	2019/6/26 22:05	https://arxiv.org/abs/1906.10184	A free energy principle for a particular physics	"This monograph attempts a theory of every 'thing' that can be distinguishedfrom other things in a statistical sense. The ensuing statisticalindependencies, mediated by Markov blankets, speak to a recursive compositionof ensembles (of things) at increasingly higher spatiotemporal scales. Thisdecomposition provides a description of small things; e.g., quantum mechanics -via the Schrodinger equation, ensembles of small things - via statisticalmechanics and related fluctuation theorems, through to big things - viaclassical mechanics. These descriptions are complemented with a Bayesianmechanics for autonomous or active things. Although this work provides aformulation of every thing, its main contribution is to examine theimplications of Markov blankets for self-organisation to nonequilibriumsteady-state. In brief, we recover an information geometry and accompanyingfree energy principle that allows one to interpret the internal states ofsomething as representing or making inferences about its external states. Theensuing Bayesian mechanics is compatible with quantum, statistical andclassical mechanics and may offer a formal description of lifelike particles."	Neurons and Cognition (q-bio.NC)	
re_hako_moon	はこつき＠VR	43	49	https://t.co/Vpv23Ke83J 単眼カメラ画像から物体の三次元メッシュを再構成する。面と線によるSkeltonを一度構成し、3DCNNによって高解像度なVolume表現を得る。さらにMarching Cubesでメッシュに変換し、GCNNでRefinementしてきれいなメッシュを出力。	2019/6/26 22:16	https://arxiv.org/abs/1903.04704	A Skeleton-bridged Deep Learning Approach for Generating Meshes of Complex Topologies from Single RGB Images	"This paper focuses on the challenging task of learning 3D object surfacereconstructions from single RGB images. Existing methods achieve varyingdegrees of success by using different geometric representations. However, theyall have their own drawbacks, and cannot well reconstruct those surfaces ofcomplex topologies. To this end, we propose in this paper a skeleton-bridged,stage-wise learning approach to address the challenge. Our use of skeleton isdue to its nice property of topology preservation, while being of lowercomplexity to learn. To learn skeleton from an input image, we design a deeparchitecture whose decoder is based on a novel design of parallel streamsrespectively for synthesis of curve- and surface-like skeleton points. We usedifferent shape representations of point cloud, volume, and mesh in ourstage-wise learning, in order to take their respective advantages. We alsopropose multi-stage use of the input image to correct prediction errors thatare possibly accumulated in each stage. We conduct intensive experiments toinvestigate the efficacy of our proposed approach. Qualitative and quantitativeresults on representative object categories of both simple and complextopologies demonstrate the superiority of our approach over existing ones. Wewill make our ShapeNet-Skeleton dataset publicly available."	Computer Vision and Pattern Recognition (cs.CV)	
nicklaw296	ニクロー	316	321	@puni_kyopro https://t.co/JDUF973x7O とりあえずいろんな分野で使えそうな感じの	2019/6/26 22:44	https://arxiv.org/abs/1703.03400	Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks	"We propose an algorithm for meta-learning that is model-agnostic, in thesense that it is compatible with any model trained with gradient descent andapplicable to a variety of different learning problems, includingclassification, regression, and reinforcement learning. The goal ofmeta-learning is to train a model on a variety of learning tasks, such that itcan solve new learning tasks using only a small number of training samples. Inour approach, the parameters of the model are explicitly trained such that asmall number of gradient steps with a small amount of training data from a newtask will produce good generalization performance on that task. In effect, ourmethod trains the model to be easy to fine-tune. We demonstrate that thisapproach leads to state-of-the-art performance on two few-shot imageclassification benchmarks, produces good results on few-shot regression, andaccelerates fine-tuning for policy gradient reinforcement learning with neuralnetwork policies."	Machine Learning (cs.LG)	Artificial Intelligence (cs.AI);Computer Vision and Pattern Recognition (cs.CV);Neural and Evolutionary Computing (cs.NE)
kogomi21361	kogomi	311	334	ベシ圏の原著が公開されてると聞いて..... ふふふ…英語を勉強できる素材が増えたな…（建前） https://t.co/ZXXMFKXZTx	2019/6/26 22:52	https://arxiv.org/abs/1612.09375	Basic Category Theory	"This short introduction to category theory is for readers with relativelylittle mathematical background. At its heart is the concept of a universalproperty, important throughout mathematics. After a chapter introducing thebasic definitions, separate chapters present three ways of expressing universalproperties: via adjoint functors, representable functors, and limits. A finalchapter ties the three together.For each new categorical concept, a generous supply of examples is provided,taken from different parts of mathematics. At points where the leap inabstraction is particularly great (such as the Yoneda lemma), the reader willfind careful and extensive explanations."	Category Theory (math.CT)	Algebraic Topology (math.AT);Logic (math.LO)
Yukihiro0036	YukihiroMasuoka	125	211	これのことですかね https://t.co/fzkDrDp7ql	2019/6/26 22:55	https://arxiv.org/abs/1902.00032	Categorical Semantics for Time Travel	"We introduce a general categorical framework to reason about quantum theoryand other process theories living in spacetimes where Closed Timelike Curves(CTCs) are available, allowing resources to travel back in time and providecomputational speedups. Our framework is based on a weakening of the definitionof traced symmetric monoidal categories, obtained by dropping the yanking axiomand the requirement that the trace be defined on all morphisms. We show thatthe two leading models for quantum theory with closed timelike curves---namelythe P-CTC model of Lloyd et al. and the D-CTC model of Deutsch---are capturedby our framework, and in doing so we provide the first compositionaldescription of the D-CTC model. Our description of the D-CTC model results in aprocess theory which respects the constraints of relativistic causality: thisis in direct contrast to the P-CTC model, where CTCs are implemented by a traceand allow post-selection to be performed deterministically."	Quantum Physics (quant-ph)	
hhhhhhaaaaaa2	h.a.	339	524	Spin-split band hybridization in graphene proximitized with α-RuCl3 nanosheets https://t.co/VEQxfqrDFS グラフェンとαCuClのシート重ねたらスピン散乱によって 量子振動が減衰するらしい こんな研究があるんやね	2019/6/26 23:04	https://arxiv.org/abs/1906.10405	Spin-split band hybridization in graphene proximitized with $α$-RuCl$_3$ nanosheets	"Proximity effects induced in the 2D Dirac material graphene potentially openaccess to novel and intriguing physical phenomena. Thus far, the couplingbetween graphene and ferromagnetic insulators has been experimentallyestablished. However, only very little is known about graphene's interactionwith antiferromagnetic insulators. Here, we report a low temperature study ofthe electronic properties of high quality van der Waals heterostructurescomposed of a single graphene layer proximitized with $\alpha$-RuCl$_3$. Thelatter is known to become antiferromagnetically ordered below 10 K. Shubnikovde Haas oscillations in the longitudinal resistance together with Hallresistance measurements provide clear evidence for a band realignment that isaccompanied by a transfer of electrons originally occupying the graphene's spindegenerate Dirac cones into $\alpha$-RuCl$_3$ band states with in-plane spinpolarization. Left behind are holes in two separate Fermi pockets, only thedispersion of one of which is distorted near the Fermi energy due to spinselective hybridization with these spin polarized $\alpha$-RuCl$_3$ bandstates. This interpretation is supported by our DFT calculations. An unexpecteddamping of the quantum oscillations as well as a zero field resistance upturnclose to the N$?$el temperature of $\alpha$-RuCl$_3$ suggests the onset ofadditional spin scattering due to spin fluctuations in the $\alpha$-RuCl$_3$."	Materials Science (cond-mat.mtrl-sci)	Strongly Correlated Electrons (cond-mat.str-el)
