user_id	user_name	follower	following	tweet	date
astrophys_tan	宇宙物理たんbot🌏☄️学術系VTuber	26917	9872	最近見つかった3体問題の解がこちらですわ（図はp. 2）。ああ！ う…美しすぎます！ https://t.co/mtyiGvsr86 PDF注意 (Šuvakov and Dmitrašinović, 2013)	2019-11-15 09:01:56
nick_debu_p	𝓝𝓲𝓬𝓴 𝓓𝓮𝓫𝓾	2079	4977	Exploiting Local and Global Structure for Point Cloud Semantic Segmentation with Contextual Point Representations https://t.co/4UHroXGjvn RAさんにやってもらった手法をさらに洗練させたようなはなしだ... https://t.co/GJzqIibSSp	2019-11-15 08:28:39
shujapantimes	shujapantimes	80	219	コーネル大学の記事によると音声認識の制度が97%。マクドナルドもドライブスルーに音声認識を導入して、業務改善を計ろうとしている。今のマニュアルでのドライブスルーの制度も確かそのあたりなので、だったら、音声認識を導入したほうがいいよね。 https://t.co/jFPH6QpTVL	2019-11-15 08:05:59
rmn_w	もこにゃ	620	77	arXivのurlをツイートするときpdf直リンクする人とは、あまり気が合わないと思ってる。	2019-11-15 07:21:21
wnk_datasci	紅林 亘	1554	1709	先日お招きした今井さんのセミナーは、私の数学力ではフォローするのが困難ですが、しかしとてもエキサイティングでワクワクするご講演でした。実対数閾値の推定は、arxiv論文の通り、WBICを計算する要領で簡単に出来るとのことですので、自分でもやってみよう！ https://t.co/RL4gMebjfY	2019-11-15 07:20:40
ogawa_tter	OGAWA, Tadashi	2353	1416	".@tatsushi_do_ob 内容はついてけないのですが、ついつい引き込まれるアニメーションがいくつもあり、さすが 718 MB！　関連 arXivです ""Deep Horizon; a machine learning network that recovers accreting black hole parameters"", Oct 29, 2019 https://t.co/tojGbKwpVH 1stは博士課程です。"	2019-11-15 07:08:51
poipoi2	歩衣子	1811	2559	arxiv挙げた人にもめーるしといた。実は結構歴史があったとかでも面白いので。	2019-11-15 04:30:45
hackernewsj	Hacker News記事題日本語翻訳	772	4	作業の光学的証明 https://t.co/ADss60ZYOn	2019-11-15 04:29:29
CiQETA8VeVu8UBj	Ḡithug@統計的最適化計算力学技術者を目指して	153	115	固有ベクトル成分の絶対値が明らかな場合は使えそうなのかな   https://t.co/IOgiDZWoKi	2019-11-15 02:00:57
_riktor_	riktor	30	68	biasっていうのを評価している。順序しか考えてなかったから差が符号しか見てなくて、推定後のズレ考えたことなかった https://t.co/SMwRHzsFrm	2019-11-15 01:08:33
komi_edtr_1230	コミさん	8751	653	行列の固有値から固有ベクトルを復元するアルゴリズム。 面白すぎる。  https://t.co/XPWkaGS2NV	2019-11-15 01:03:42
hshimodaira	はかせ Mk-II	3250	553	話題の「固有値から固有ベクトルを計算する」をRでやってみた。マジ計算できた。 数学の天才、タオ先生も共著の論文はコレ https://t.co/a4L9Shg8u1 https://t.co/22JcDDzuaP	2019-11-15 00:56:42
taku910	Taku Kudo	3670	282	Subword regularization の追試論文その2?  うまくいかないという声を時々聞きますが、元論文にもこの論文にもあるように、十分データがある+同一ドメインで評価しているとほとんど変わりません。小規模データor 別ドメインで有効です。  https://t.co/ZZ7lxz9QGY	2019-11-15 00:08:07
ngym_t	t_ngym	35	116	目を通したいもの ・EMNLP/ACL の best paper ・  Topic Modeling の派生系 https://t.co/TaPFbyU9gd https://t.co/wYQeXKxfDC ・https://t.co/D2fj6QdOyj	2019-11-14 23:55:59
math_kpro	やたか	897	909	最近、レポートとarxivのチェックで1日が終わってる	2019-11-14 23:51:30
toyo9	toyo	257	475	arXiv流し読み、良さそうです！真似してみようかな？ https://t.co/AwRGu2VqjR	2019-11-14 23:46:49
re_hako_moon	はこつき＠VR	315	367	https://t.co/HoJBMILVVz 点群畳み込み手法DensePointの提案。入力・出力特徴量をconcatしながら局所近傍での畳み込みを繰り返すことで広い領域の情報を集約できる。各層はShared-SLP(Single Layer Perceptron)で構成。さらに領域ごとのPoolingにGroupを導入することで、Poolingでの潰しすぎを抑制。	2019-11-14 23:33:11
ame88964907	ame	49	81	@a_bi_phys MPSのお絵描きが好きならこちらがおすすめです https://t.co/h3pUg3KFIk	2019-11-14 22:42:04
hyodo_net	兵頭浩佑	100	99	素晴らしかった。 QT Neural Attentive Bag-of-Entities Model for Text Classification https://t.co/MRfo1lDxif	2019-11-14 22:24:41
0x12648430	わたなべとしき	14	48	恐縮ですが、SAC-Discrete(https://t.co/N6uVZkcEQS)をアルゴリズムが理解しやすいように工夫して実装してみたので、是非参照してみてください。アドバイス等頂けると本当に嬉しいです🙇‍♂️  https://t.co/444fINrx3K	2019-11-14 21:46:19
Nmoomin	のぞむーん	1290	734	@km96ph おーん(ちなみにこれはhttps://t.co/BiUZKInlq4のp63のfootnoteにrecall~って書いてあるところからとったぜ(そもそもcallした覚えがないぜ	2019-11-14 21:24:59
Ronmemo1	Ryosuke_Okubo	62	96	ABST100メモ：100 AlphaStar（2019）→https://t.co/o6KGI1nuzw　，最後は今年に入って話題になったものから，論文では主にevolutionary computation (EC)に着目	2019-11-14 21:03:14
coro_NLP	CoroNLL	13	49	やみくもにarxiv読むのやめて職場に導入されたIntroduction to Natural Language Processing 読む	2019-11-14 20:52:01
imenurok	那須音トウ | imenurok	1994	631	arXiv版ではBatchNorm後に差し込めばReLUがあっても機能するparamを示してたり	2019-11-14 20:20:06
skit1984	Shuhei Kitamura	643	206	@dojin_tw @toshi_kuroda @J_YAMASAKI そうなんですね。SSRNの前にarXivを試したんですが、texのコンパイルを彼等のサイト上でしろ、という指示が出たのでやめました。PDFでアップロードできないのは不便。	2019-11-14 20:19:48
AkiraTOSEI	akira	655	1119	https://t.co/IhvzZZnZ0b 量子化学計算をNNで行うFermi Netを提案。量子化学計算は波動関数をエネルギー最小化を介して最適化するが、その波動関数近似をNNが担うイメージ。NNにHamiltonian,HF近似など物理的な制約が多数。従来は系によって最良手法が異なるが、Fermi Netはどの系でも良い結果を出せる https://t.co/y0OxDq0XAp	2019-11-14 20:12:27
lyiase	Lyiase	3707	2202	図が間違ってないか確認したんだが、色温度も約9600K(シリウスの9940Kに近い)で図は間違ってないようだ…。 https://t.co/87gAnoGDyQ https://t.co/tMToU84TIh	2019-11-14 20:07:25
SMBKRHYT	✨dao dai shun shi✨	1062	653	https://t.co/Ya4FdCmUto  銀河観測の話をもっと理解したいと思った。。。	2019-11-14 20:06:27
itimasan	いちまさん	1035	622	uri_orz えい　https://t.co/q54gASGvwT	2019-11-14 20:05:59
arXiv_0813	けい♪憐@iPhone5	32	8	＃パズドラ  フレンド募集中でさぁ♪IDは189223408！	2019-11-14 20:00:46
kuto_bopro	きょうへい	92	105	SinGANの論文読んだけど面白いな。 自分でオリジナルの画像入れて色々試してみよう。  https://t.co/pgeFl8bLRg	2019-11-14 19:02:17
sitf_another333	SITF	57	46	【めも】 https://t.co/iKr6rIWeMY https://t.co/WZmlfLqfka  https://t.co/FkwjQMcPgj https://t.co/ZzbPxZKA7x https://t.co/Qog9TPhjVb	2019-11-14 18:55:04
i_n_o_u_e_2_kki	井上秋@I LOVE 箱子 3000	58	110	論文読み放題なのは最高だったなぁ  arXivに上がってない論文とか今でも読みたい	2019-11-14 18:49:07
lisperatsa	隠居生活はじめました	17	22	なんかarXivに論文あってわろち https://t.co/fUUwn7TQb5	2019-11-14 18:37:09
TodayInsane	砂時計	81	93	2018年1月とかにarXivに投稿されたArcFaceがCVPR2019に掲載されてんのもびっくりしたけど同時に「ArcFaceどんだけノイズでイジめたら誤認識するか」を調べた論文も載っててすごい  https://t.co/8sBi12W5w6	2019-11-14 18:20:35
QFTlover	T duality	286	212	★あとで読む  [1910.03190] Banados-Teitelboim-Zanelli Black Hole in the Information Geometry https://t.co/Yy1WOomlAN	2019-11-14 18:19:09
letexpr	nkaml	288	191	@pentarou2k Type Classes for Lightweight Substructural Types https://t.co/IPLf8T7oMI ですね〜	2019-11-14 17:58:56
QFTlover	T duality	286	212	no local gauge-invariant observable in gravity theory p.6真ん中あたりに結論 (Note that this conclusion is restricted to the case of a compact universe without a boundary)  [gr-qc/9306030] Gravitational Observables and Local Symmetries https://t.co/W91vDbTiQt	2019-11-14 17:57:04
User0224	Yuki T.	161	252	新しくarXivにあげた論文のscirateでのイイネ少なすぎて悲しい... https://t.co/8yiNvfQ6Zn	2019-11-14 16:44:15
shion_honda	Shion Honda	1678	260	Francois Cholletが汎用人工知能の論文「The Measure of Intelligence」を公開。 Abstractによると、知能をスキル獲得効率と捉え、general intelligenceをAI間だけでなく人間とも比較できるように、ベンチマーク「Abstraction and Reasoning Corpus」を提案したとのこと。 https://t.co/ELWrJxYS8r	2019-11-14 16:13:28
nbhtmaru	Nobuhito Maru③	273	72	arXiv投稿だん。	2019-11-14 15:59:57
sinta0429	Shintaro	24	28	流し読み論文8 : https://t.co/2oLleo17eN . EDGESから話変わって, high-zの電波源の連続線にミニハロー由来の21cm吸収線(21cm Forest)が存在し得て, 将来SKAなどで観測できればultra-light particle(DMの?)の性質が制限ができる.	2019-11-14 15:42:13
sinta0429	Shintaro	24	28	流し読み論文7 : https://t.co/Fu5yDMiEqt . 背景電波放射の超過が21cm線 global signalやpower spectrumにどう影響し得るかみた論文. EDGESの結果を説明するには、全超過に対してhigh-zの寄与が数%あれば良いようだ.	2019-11-14 15:33:37
yotsunva	yotsunva	243	250	Cantor-BernsteinからExcluded Middle、結構最近だったのか(気づいてなかった) https://t.co/o80B5VW8NG	2019-11-14 15:30:28
knshnb	けんしん	1701	1768	シンガポールの高校生から論文に関する質問来たけど、今時の高校生はarXiv論文まで読んでるのか…	2019-11-14 14:12:00
mine691	ホスフィン(Selka)	579	532	https://t.co/q26PniTjyv  F_p上のモニックなN次既約多項式の個数が簡単に求められるらしい	2019-11-14 13:01:28
L_H_Sullivan	ふー🐯じん🐳	454	355	Anomalous thickness-dependent electrical conductivity in van der Waals layered transition metal halide, Nb_3Cl_8 https://t.co/FqVo9aUCRC 時代はハライドvdWか	2019-11-14 13:00:26
omusubi_phys	おむすび@図の作成、コード解読	232	254	BHシャドウからスピンの情報を得るために，M87のBHSを画像を調べた．降着率の増加による，M87の部分的にシンクロトロン自己吸収に対し厚い領域の影響により，一般にBHSに暗い三日月型の構造ができ，この構造でスピンを推定できることを示した． https://t.co/zFWuzKeVrj  #おむすびが論文紹介するだけ	2019-11-14 12:47:44
dorayak10195534	dorayaki	1	3	"Zhao, Xilei, et al. ""Distilling Black-Box Travel Mode Choice Model for Behavioral Interpretation."" arXiv preprint arXiv:1910.13930 (2019). GBDTから決定木に蒸留"	2019-11-14 12:40:31
Rodin_math	ロダンσ(二浪院試落ちバーチャル数学徒)	1329	1230	今度出す論文の参考文献全部で44本あるんだけど，年代別に見ると2010〜2019が26本，2000〜2009が17本，残りの1本は1987年なので分野としては今まさに成長中という感じですね．利点としてはほとんどの論文がarXivにあるのでアクセスがしやすい，これは本当に助かる	2019-11-14 11:50:57
PlanckScale	大栗博司	14102	99	論文をarXivに投稿しました。 https://t.co/eHq7iilQdx	2019-11-14 11:42:19
miyox	miyox	813	624	あとでよむ YOLACT: Real-time Instance Segmentation https://t.co/Ol1rRAilOw	2019-11-14 11:20:48
miyox	miyox	813	624	CutMix https://t.co/emNEP8lqQP 切り貼りかー，おもしろいなあ．	2019-11-14 11:20:20
daimare_496	名無し。	1148	1584	Bayse, Graph-CNNあたり好きな人は好き？まだ中ちゃんと読んでないけど  https://t.co/wBMwBwxBl1	2019-11-14 11:09:11
maguroIsland	まぐろ	284	283	え、Progressive GANってdouble blind規定に抵触してたけど、通ってたんだ 今年からdouble blind始めたしarXivは許可されてるし貢献ヤバイからしゃーないね！まーおっけー！って書いてあってたまげた	2019-11-14 10:31:49
q9ac	將籠林檎 / 𝓓	359	309	いろんな系のsuperradiance。  非エルミートハミルトニアン→superradianceとか https://t.co/JzTgSywWNN	2019-11-14 10:24:15
crcrpar	crpa	1075	2550	お、LIMEとSHAPは倒せるマンっぽい https://t.co/hn1Q9AqpoW	2019-11-14 10:21:05
mocobt	mocobt🐈	544	844	論文候補  Habitat: A Platform for Embodied AI Research https://t.co/9RjLD0lyH8 既に話題にはなっているが関連研究を洗いたい  Action Assessment by Joint Relation Graphs https://t.co/vMqgGMmCmy ネタ枠	2019-11-14 09:37:30
q9ac	將籠林檎 / 𝓓	359	309	非エルミートな効果をもたらす外場をかけたときの線形応答理論。  非エルミートな系に非エルミートな摂動が入る場合の計算もあるんかなあ、そっちの方がもっと興味ある。どういう計算するんだろうか https://t.co/4H5l8OLwyd	2019-11-14 08:46:15
tweet_nakasho	中の人はダンブルドア	644	744	今日から新聞を読む感覚でstatisticsとquantumのarXivを流し読みすることにしたのじゃ。自分のバックグラウンドとは違う分野なので間違ったコメントなどをするかもしれん。そのときはホグワーツ物理学徒諸君からフィードバックをいただきたい。よろしくお願いします。	2019-11-14 08:33:40
momiji_fullmoon	望月紅葉さんと幸せな家庭を築きたい	1084	2395	PointDAN: A Multi-Scale 3D Domain Adaption Network for Point Cloud Representation https://t.co/4BKaovk4GM 点群のドメイン適応． 画像と違って同じ物体でもスキャンのされ方が変わるので， 大変そう… https://t.co/SNRGKl7IAS	2019-11-14 08:30:25
hashimotostring	橋本幸士 Koji Hashimoto	13069	133	論文出ました。素粒子論と物性の境界領域です。阪大の松尾善典さんとの共著。 “Escape from black holes in materials: Type II Weyl semimetals and generic edge states” Koji Hashimoto, Yoshinori Matsuo https://t.co/PEDwZqkzJ1 https://t.co/XphiSAJEc5	2019-11-14 08:21:37
tweet_nakasho	中の人はダンブルドア	644	744	量子暗号をもっとロバストにできませんかという論文。 量子暗号の勉強からじゃな。 https://t.co/AZFPW3Y6wI	2019-11-14 08:04:20
tweet_nakasho	中の人はダンブルドア	644	744	量子コンピュータプロトコルを古典的なSumcheck-baseプロトコルでなんとかできないかなみたいな論文。 プロトコル全くわからん https://t.co/0pTH68H5sz	2019-11-14 08:04:09
tweet_nakasho	中の人はダンブルドア	644	744	2量子ビットのXXZ模型なる論文。 XY模型をまず勉強しなきゃいけないぽいなー。 https://t.co/XrvteawVXx	2019-11-14 08:03:58
tweet_nakasho	中の人はダンブルドア	644	744	新しい超伝導磁束量子ビットを開発したっぽい論文。 さすがNTT。 https://t.co/QGjoUUpxZC	2019-11-14 08:03:43
tweet_nakasho	中の人はダンブルドア	644	744	量子もつれ光子の論文。「量子もつれ光子」という言葉を初めて知った。 https://t.co/ttMmlabBdA	2019-11-14 08:03:22
tweet_nakasho	中の人はダンブルドア	644	744	量子テレポーテーションを解析的に解いて、完全に制御できそうみたいな話。 ...本当かな？ https://t.co/POImtWT3MK	2019-11-14 08:03:12
tweet_nakasho	中の人はダンブルドア	644	744	40Ca+を使ったイオン量子ビットの論文。 イオントラップ型も勉強しないと。 https://t.co/jqvfrqfD0s	2019-11-14 08:03:01
tweet_nakasho	中の人はダンブルドア	644	744	量子情報理論の中でも量子干渉に関するものだけを集めてきた理論の論文。 わぁーい、図がいっぱい https://t.co/kM9YEAVnBB	2019-11-14 08:02:45
